"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT06","WT08","WT09"
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-01",,,,,"0.00","0.0","0.5",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-02",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-03",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-04",,,,,"0.05","1.0","1.0",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-05",,,,,"0.01","0.0","0.0",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-06",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-07",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-08",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-09",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-10",,,,,"0.03","0.0","0.0",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-11",,,,,"1.77","0.0","0.0",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-12",,,,,"0.22","0.6","0.5",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-13",,,,,"0.04","0.3","1.0",,,,,,,,,,,,,,,
"US1ILCK0306","OAK FOREST 0.6 N, IL US","41.6155","-87.7507","199.3","2020-01-14",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"US1ILCK0148","OAK LAWN 1.9 SE, IL US","41.693577","-87.728993","182.3","2020-01-04",,,,,"0.05",,,,,,,,,,,,,,,,,
"US1ILCK0148","OAK LAWN 1.9 SE, IL US","41.693577","-87.728993","182.3","2020-01-10",,,,,"0.02",,,,,,,,,,,,,,,,,
"US1ILCK0148","OAK LAWN 1.9 SE, IL US","41.693577","-87.728993","182.3","2020-01-11",,,,,"1.74",,,,,,,,,,,,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-01",,,,,"0.00","0.0",,,,,,,,,,,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-02",,,,,"0.00","0.0","0.3",,,,,,,,"0.0",,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-03",,,,,"0.00","0.0",,,,,,,,,,,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-04",,,,,"0.03","0.5","0.5",,,,,,,"0.0","0.0",,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-06",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-07",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-08",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-09",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-10",,,,,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-11",,,,,"2.07","0.0","0.0",,,,,,,"0.0","0.0",,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-12",,,,,"0.11","1.5","1.5",,,,,,,"0.1","0.1",,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-13",,,,,"0.00","0.0","1.0",,,,,,,,"0.0",,,,,,,
"US1ILCK0149","OAK LAWN 0.5 SSW, IL US","41.708447","-87.753872","182.0","2020-01-14",,,,,"0.00","0.0","1.0",,,,,,,,"0.0",,,,,,,
"USC00115763","MONEE RESERVOIR, IL US","41.39355","-87.76438","225.6","2020-01-02",,,,,,,"1.0",,,,,,,,,,,,,,,
"USC00115763","MONEE RESERVOIR, IL US","41.39355","-87.76438","225.6","2020-01-03",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"USC00115763","MONEE RESERVOIR, IL US","41.39355","-87.76438","225.6","2020-01-06",,,,,,,"0.0",,,,,,,,,,,,,,,
"USC00115763","MONEE RESERVOIR, IL US","41.39355","-87.76438","225.6","2020-01-07",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"USC00115763","MONEE RESERVOIR, IL US","41.39355","-87.76438","225.6","2020-01-08",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"USC00115763","MONEE RESERVOIR, IL US","41.39355","-87.76438","225.6","2020-01-09",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"USC00115763","MONEE RESERVOIR, IL US","41.39355","-87.76438","225.6","2020-01-10",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"USC00115763","MONEE RESERVOIR, IL US","41.39355","-87.76438","225.6","2020-01-13",,,,,,,"0.0",,,,,,,,,,,,,,,
"USC00115763","MONEE RESERVOIR, IL US","41.39355","-87.76438","225.6","2020-01-14",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-01",,,,,"0.00","0.0","0.0",,"29","21","22",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-02",,,,,"0.00","0.0","0.0",,"41","21","36",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-03",,,,,"0.00","0.0","0.0",,"48","35","35",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-04",,,,,"0.00","0.5","1.0",,"39","30","30",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-05",,,,,"0.00","0.0","0.0",,"32","27","27",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-06",,,,,"0.00","0.0","0.0",,"41","25","25",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-07",,,,,"0.00","0.0","0.0",,"41","25","28",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-08",,,,,"0.00","0.0","0.0",,"42","20","20",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-09",,,,,"0.00","0.0","0.0",,"26","16","26",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-10",,,,,"0.10","0.0","0.0",,"48","26","45",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-11",,,,,"2.00","0.0","0.0",,"50","39","39",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-12",,,,,"0.00","0.5","0.0",,"39",,"29",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-13",,,,,"0.01","0.0",,,"32","24","31",,,,,,,,,,,
"USC00116616","PARK FOREST, IL US","41.4947","-87.6802","216.4","2020-01-14",,,,,"0.00",,,,"34","30","33",,,,,,,,,,,
"USC00115097","LISLE MORTON ARBORETUM, IL US","41.8127","-88.0727","207.3","2020-01-02",,,,,"0.00","0.0","0.0",,"43",,"37",,,,,,,,,,,
"USC00115097","LISLE MORTON ARBORETUM, IL US","41.8127","-88.0727","207.3","2020-01-03",,,,,"0.00","0.0","0.0",,"49","32","36",,,,,,,,,,,
"USC00115097","LISLE MORTON ARBORETUM, IL US","41.8127","-88.0727","207.3","2020-01-04",,,,,,,,,"37","30","30",,,,,,,,,,,
"USC00115097","LISLE MORTON ARBORETUM, IL US","41.8127","-88.0727","207.3","2020-01-05",,,,,"0.00","0.0","0.0",,"33","23","24",,,,,,,,,,,
"USC00115097","LISLE MORTON ARBORETUM, IL US","41.8127","-88.0727","207.3","2020-01-06",,,,,"0.00","0.0","0.0",,"42","24","27",,,,,,,,,,,
"USC00115097","LISLE MORTON ARBORETUM, IL US","41.8127","-88.0727","207.3","2020-01-07",,,,,"0.00","0.0","0.0",,"43","25","30",,,,,,,,,,,
